"","SEG","ELEMENT","LENGTH","START_X","START_Y","TRANS_NUM","TOT_LENGTH"
"1",79,"str3",21.97183218,296496.7439,3235764.889,2,43.94366436
"2",110,"str3",21.97183218,296240.0743,3236454.173,3,65.91549654
"3",98,"str3",21.97183218,296439.9619,3235905.892,2,43.94366436
"4",125,"str3",21.97183218,295969.7744,3236930.102,3,65.91549654
"5",93,"str3",21.97183218,296388.0264,3236002.7,3,65.91549654
"6",81,"str3",21.97183218,296516.1647,3235725.469,3,65.91549654
"7",96,"str3",21.97183218,296419.1877,3235944.615,5,109.8591609
"8",85,"str3",21.97183218,296555.0063,3235646.631,1,21.97183218
"9",99,"str3",21.97183218,296450.349,3235886.53,1,21.97183218
"10",114,"str3",21.97183218,296282.2073,3236377.044,4,87.88732872
"11",94,"str3",21.97183218,296398.4135,3235983.338,3,65.91549654
"12",123,"str3",21.97183218,295959.9569,3236972.935,5,109.8591609
"13",124,"str3",21.97183218,295964.8656,3236951.519,2,43.94366436
"14",73,"str3",21.97183218,296694.1445,3235418.52,1,21.97183218
"15",95,"str3",21.97183218,296408.8006,3235963.976,5,109.8591609
"16",108,"str3",21.97183218,296219.0078,3236492.738,3,65.91549654
"17",89,"str3",21.97183218,296346.478,3236080.146,2,43.94366436
"18",126,"str3",21.97183218,295974.6831,3236908.686,2,43.94366436
"19",72,"str3",21.97183218,296684.0113,3235438.016,5,109.8591609
"20",87,"str3",21.97183218,296574.4271,3235607.212,2,43.94366436
"21",80,"str3",21.97183218,296506.4543,3235745.179,1,21.97183218
"22",101,"str3",21.97183218,296145.275,3236627.715,5,109.8591609
"23",74,"str3",21.97183218,296704.2778,3235399.024,1,21.97183218
"24",102,"str3",21.97183218,296155.8082,3236608.433,3,65.91549654
"25",111,"str3",21.97183218,296250.6075,3236434.891,4,87.88732872
"26",71,"str3",21.97183218,296673.878,3235457.511,3,65.91549654
"27",120,"str3",21.97183218,295945.2306,3237037.185,1,21.97183218
"28",100,"str3",21.97183218,296460.736,3235867.169,4,87.88732872
"29",82,"str3",21.97183218,296525.8751,3235705.76,4,87.88732872
"30",77,"str3",21.97183218,296734.6777,3235340.538,3,65.91549654
"31",112,"str3",21.97183218,296261.1408,3236415.608,1,21.97183218
"32",90,"str3",21.97183218,296356.8651,3236060.784,4,87.88732872
"33",68,"str3",21.97183218,296643.4781,3235515.998,4,87.88732872
"34",105,"str3",21.97183218,296187.408,3236550.585,1,21.97183218
"35",107,"str3",21.97183218,296208.4745,3236512.021,5,109.8591609
"36",86,"str3",21.97183218,296564.7167,3235626.921,2,43.94366436
"37",83,"str3",21.97183218,296535.5855,3235686.05,2,43.94366436
"38",75,"str3",21.97183218,296714.4111,3235379.529,3,65.91549654
"39",113,"str3",21.97183218,296271.674,3236396.326,5,109.8591609
"40",106,"str3",21.97183218,296197.9413,3236531.303,1,21.97183218
"41",69,"str3",21.97183218,296653.6114,3235496.502,3,65.91549654
"42",76,"str3",21.97183218,296724.5444,3235360.033,2,43.94366436
"43",109,"str3",21.97183218,296229.541,3236473.456,1,21.97183218
"44",121,"str3",21.97183218,295950.1393,3237015.768,5,109.8591609
"45",104,"str3",21.97183218,296176.8747,3236569.868,3,65.91549654
"46",122,"str3",21.97183218,295955.0481,3236994.352,1,21.97183218
"47",119,"str3",21.97183218,296070.9929,3236719.084,2,43.94366436
"48",67,"str3",21.97183218,296633.3448,3235535.493,5,109.8591609
"49",92,"str3",21.97183218,296377.6393,3236022.061,2,43.94366436
"50",70,"str3",21.97183218,296663.7447,3235477.007,2,43.94366436
"51",88,"str3",21.97183218,296584.1375,3235587.502,5,109.8591609
"52",116,"str3",21.97183218,296039.9788,3236777.247,2,43.94366436
"53",117,"str3",21.97183218,296050.3168,3236757.86,1,21.97183218
"54",103,"str3",21.97183218,296166.3415,3236589.15,5,109.8591609
"55",78,"str3",21.97183218,296487.0335,3235784.598,5,109.8591609
"56",118,"str3",21.97183218,296060.6548,3236738.472,5,109.8591609
"57",97,"str3",21.97183218,296429.5748,3235925.253,2,43.94366436
"58",84,"str3",21.97183218,296545.2959,3235666.341,3,65.91549654
"59",115,"str3",21.97183218,296029.6408,3236796.635,4,87.88732872
"60",91,"str3",21.97183218,296367.2522,3236041.423,1,21.97183218
