QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,START_X,START_Y,END_X,END_Y,LABEL,PRIMARY,,
2,LCI39,4,NO ROCK,N,25.41583808,299080.4375,3235957.192,299080.4375,3235982.608,LCI39-4,2,,
2,LCI38,2,NO ROCK,N,67.4808901,299112.4375,3235899.652,299112.4375,3235967.133,LCI38-2,1,,
2,LCI39,3,NO ROCK,N,67.33300739,299149.8001,3236043.733,299217.1331,3236043.733,LCI39-3,1,,
2,LTI18,1,NO ROCK,N,20.67340585,298368.8648,3238377.733,298389.5382,3238377.733,LTI18-1,1,,
2,LTI19,1,NO ROCK,N,15.86922072,298304.2369,3238245.733,298320.1061,3238245.733,LTI19-1,2,,
2,LTI20,1,NO ROCK,N,12.21033456,298228.4375,3238465.102,298228.4375,3238477.313,LTI20-1,2,,
2,NNI10,1,NO ROCK,N,14.880701,298630.4375,3237138.405,298630.4375,3237153.285,NNI10-1,2,,
2,LCO17,1,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-1,1,5,1
2,LCO17,2,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-2,1,5,3
2,LCO17,12,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-12,1,5,2
2,LCO17,13,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-13,1,5,4
2,LCO17,21,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-21,1,5,5
